stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code,parent_station
mytown-0217_01,,滝ノ原,,39.656768,140.067106,mytown-0217_01,,0,,
mytown-0217_02,,滝ノ原,,39.656679,140.0672,mytown-0217_02,,0,,
mytown-0218_01,,浜田回転地,,39.65392,140.067128,mytown-0218_01,,0,,
mytown-0218_02,,浜田回転地,,39.653963,140.067326,mytown-0218_02,,0,,
mytown-0219_01,,老人ホーム入口,,39.652471,140.066913,mytown-0219_01,,0,,
mytown-0219_02,,老人ホーム入口,,39.652081,140.067071,mytown-0219_02,,0,,
mytown-0220_01,,比内町,,39.673508,140.082681,mytown-0220_01,,0,,
mytown-0220_02,,比内町,,39.673287,140.082777,mytown-0220_02,,0,,
mytown-0221_01,,大森山公園東入口,,39.669602,140.082024,mytown-0221_01,,0,,
mytown-0221_02,,大森山公園東入口,,39.669629,140.082163,mytown-0221_02,,0,,
mytown-0222_01,,宮田沢,,39.666491,140.080854,mytown-0222_01,,0,,
mytown-0222_02,,宮田沢,,39.666212,140.080967,mytown-0222_02,,0,,
mytown-0223_01,,梅林園入口,,39.663251,140.07971,mytown-0223_01,,0,,
mytown-0223_02,,梅林園入口,,39.663086,140.079812,mytown-0223_02,,0,,
mytown-0224_01,,滝ノ下入口,,39.660948,140.077265,mytown-0224_01,,0,,
mytown-0224_02,,滝ノ下入口,,39.660915,140.077365,mytown-0224_02,,0,,
mytown-0225_01,,境川,,39.649284,140.069638,mytown-0225_01,,0,,
mytown-0225_02,,境川,,39.649387,140.069721,mytown-0225_02,,0,,
mytown-0226_01,,桂根一区,,39.645661,140.067043,mytown-0226_01,,0,,
mytown-0226_02,,桂根一区,,39.645847,140.067233,mytown-0226_02,,0,,
mytown-0227_01,,桂根二区,,39.643656,140.066597,mytown-0227_01,,0,,
mytown-0227_02,,桂根二区,,39.643765,140.066715,mytown-0227_02,,0,,
