table_name,field_name,field_value,language,translation
stops,stop_name,名ヶ沢,ja-Hrkt,みょうがさわ
stops,stop_name,名ヶ沢,en,Myogasawa
stops,stop_name,新屋踏切前,ja-Hrkt,あらやふみきりまえ
stops,stop_name,新屋踏切前,en,Araya Fumikiri-mae
stops,stop_name,新屋鳥木町,ja-Hrkt,あらやとりきまち
stops,stop_name,新屋鳥木町,en,Araya-torikimachi
stops,stop_name,田尻沢,ja-Hrkt,たじりさわ
stops,stop_name,田尻沢,en,Tajirisawa
stops,stop_name,新屋高校入口,ja-Hrkt,あらやこうこういりぐち
stops,stop_name,新屋高校入口,en,Araya Koko-iriguchi
stops,stop_name,田尻沢東町,ja-Hrkt,たじりさわひがしちょう
stops,stop_name,田尻沢東町,en,Tajirizawa-higashicho
stops,stop_name,新屋高校前,ja-Hrkt,あらやこうこうまえ
stops,stop_name,新屋高校前,en,Araya Koko-mae (Araya High School)
stops,stop_name,石田坂下丁,ja-Hrkt,いしだざかしもちょう
stops,stop_name,石田坂下丁,en,Ishidazaka-shimocho
stops,stop_name,市兵衛橋,ja-Hrkt,いちべいはし
stops,stop_name,市兵衛橋,en,Ichibei-bashi
stops,stop_name,神明社,ja-Hrkt,しんめいしゃ
stops,stop_name,神明社,en,Shimmeisha
stops,stop_name,石田坂,ja-Hrkt,いしだざか
stops,stop_name,石田坂,en,Ishidazaka
stops,stop_name,平の下,ja-Hrkt,ひらのした
stops,stop_name,平の下,en,Hiranoshita
stops,stop_name,居使,ja-Hrkt,いづかい
stops,stop_name,居使,en,Izukai
stops,stop_name,上居使,ja-Hrkt,かみいづかい
stops,stop_name,上居使,en,Kami-izukai
stops,stop_name,下中島,ja-Hrkt,しもなかじま
stops,stop_name,下中島,en,Shimo-nakajima
stops,stop_name,中島,ja-Hrkt,なかじま
stops,stop_name,中島,en,Nakajima
stops,stop_name,豊岩コミセン前,ja-Hrkt,とよいわこみせんまえ
stops,stop_name,豊岩コミセン前,en,Toyoiwa Komisen-mae (Toyoiwa Community Center)
stops,stop_name,豊岩小学校前,ja-Hrkt,とよいわしょうがっこうまえ
stops,stop_name,豊岩小学校前,en,Toyoiwa Shogakko-mae (Toyoiwa Elementary School)
stops,stop_name,白華公園前,ja-Hrkt,はっかこうえんまえ
stops,stop_name,白華公園前,en,Hakka Koen-mae
stops,stop_name,前郷,ja-Hrkt,まえごう
stops,stop_name,前郷,en,Maego
stops,stop_name,前郷中山,ja-Hrkt,まえごうなかやま
stops,stop_name,前郷中山,en,Maego Nakayama
stops,stop_name,ふれあいの里,ja-Hrkt,ふれあいのさと
stops,stop_name,ふれあいの里,en,Fureai-no-sato
stops,stop_name,地蔵尊前,ja-Hrkt,じぞうそんまえ
stops,stop_name,地蔵尊前,en,Jizoson-mae
stops,stop_name,小山入口,ja-Hrkt,おやまいりぐち
stops,stop_name,小山入口,en,Oyama-iriguchi
stops,stop_name,小山,ja-Hrkt,おやま
stops,stop_name,小山,en,Oyama
stops,stop_name,狐森,ja-Hrkt,きつねもり
stops,stop_name,狐森,en,Kitsunemori
stops,stop_name,小山回転地,ja-Hrkt,おやまかいてんち
stops,stop_name,小山回転地,en,Oyama Kaitenchi
stops,stop_name,楢田入口,ja-Hrkt,ならたいりぐち
stops,stop_name,楢田入口,en,Narata-iriguchi
stops,stop_name,石崎,ja-Hrkt,いしざき
stops,stop_name,石崎,en,Ishizaki
stops,stop_name,楢田,ja-Hrkt,ならた
stops,stop_name,楢田,en,Narata
stops,stop_name,野中,ja-Hrkt,のなか
stops,stop_name,野中,en,Nonaka
stops,stop_name,黒瀬橋,ja-Hrkt,くろせばし
stops,stop_name,黒瀬橋,en,Kurose-bashi
stops,stop_name,湯野目入口,ja-Hrkt,ゆのめいりぐち
stops,stop_name,湯野目入口,en,Yunome-iriguchi
stops,stop_name,湯野目,ja-Hrkt,ゆのめ
stops,stop_name,湯野目,en,Yunome
stops,stop_name,高徳谷地,ja-Hrkt,こうとくやち
stops,stop_name,高徳谷地,en,Kotokuyachi
stops,stop_name,赤坂,ja-Hrkt,あかさか
stops,stop_name,赤坂,en,Akasaka
stops,stop_name,八田公民館,ja-Hrkt,はったこうみんかん
stops,stop_name,八田公民館,en,Hatta Kouminkan
stops,stop_name,八田上丁,ja-Hrkt,はったかみちょう
stops,stop_name,八田上丁,en,Hatta-kamicho
stops,stop_name,秋田駅西口,ja-Hrkt,あきたえきにしぐち
stops,stop_name,秋田駅西口,en,Akita Sta. Nishiguchi
stops,stop_name,千秋公園入口,ja-Hrkt,せんしゅうこうえんいりぐち
stops,stop_name,千秋公園入口,en,Senshu Koen-iriguchi
stops,stop_name,木内前,ja-Hrkt,きのうちまえ
stops,stop_name,木内前,en,Kinouchi-mae
stops,stop_name,通町,ja-Hrkt,とおりまち
stops,stop_name,通町,en,Tori-machi
stops,stop_name,ねぶり流し館前,ja-Hrkt,ねぶりながしかんまえ
stops,stop_name,ねぶり流し館前,en,Neburi-nagashi-kan-mae
stops,stop_name,大町通り,ja-Hrkt,おおまちどおり
stops,stop_name,大町通り,en,Omachi-dori
stops,stop_name,北都銀行前,ja-Hrkt,ほくとぎんこうまえ
stops,stop_name,北都銀行前,en,Hokuto Ginko-mae
stops,stop_name,五丁目橋,ja-Hrkt,ごちょうめばし
stops,stop_name,五丁目橋,en,Gochome-bashi
stops,stop_name,中通六郵便局前,ja-Hrkt,なかどおりろくゆうびんきょくまえ
stops,stop_name,中通六郵便局前,en,Nakadori roku Yubinkyoku-mae (Nkadoori 6 Post Office)
stops,stop_name,南大通り・中通病院前,ja-Hrkt,みなみおおどおりなかどおりびょういんまえ
